,gene_name,cluster,gene_id
1,ACTN1,green_module,ENSG00000072110
2,CNN2,green_module,ENSG00000064666
3,CRLF1,green_module,ENSG00000006016
4,CTSA,green_module,ENSG00000064601
5,IFFO1,green_module,ENSG00000010295
6,ITGA3,green_module,ENSG00000005884
7,LASP1,green_module,ENSG00000002834
8,MRC2,green_module,ENSG00000011028
9,NOTCH3,green_module,ENSG00000074181
10,OSBPL5,green_module,ENSG00000021762
11,PHLDB1,green_module,ENSG00000019144
12,PKD1,green_module,ENSG00000008710
13,PLPP1,green_module,ENSG00000067113
14,PLXND1,green_module,ENSG00000004399
15,RPS6KA2,green_module,ENSG00000071242
16,SDF4,green_module,ENSG00000078808
17,SEMA3F,green_module,ENSG00000001617
18,TNC,green_module,ENSG00000041982
19,TNFRSF1A,green_module,ENSG00000067182
20,TNS1,green_module,ENSG00000079308
